"hanzi","pinyin","translation","alt_translations","tags"
"啊","a","particule modale","particule modale",""
"阿姨","ā yí","tante","tante; nourrice; femme du même âge que ses parents",""
"矮","ǎi","court","court; bas",""
"爱好","ài hào","loisir","loisir; intérêt",""
"安静","ān jìng","calme","calme; pacifique; paisible; tranquille",""
"把","bǎ","tenir","tenir; saisir; particule marquant le complément d'objet direct",""
"搬","bān","se déplacer","se déplacer; transporter",""
"班","bān","équipe","équipe; classe",""
"办法","bàn fǎ","méthode","méthode; moyen",""
"办公室","bàn gōng shì","bureau","bureau",""
"半","bàn","la moitié","la moitié; semi",""
"帮忙","bāng máng","aider","aider; donner un coup de main; assister; soutenir",""
"包","bāo","couvrir","couvrir; envelopper; paquet",""
"饱","bǎo","rassasié","rassasié; manger jusqu'à satiété",""
"北方","běi fāng","nord","nord",""
"被","bèi","par (formes passives)","par (formes passives); par; couvrir",""
"鼻子","bí zi","nez","nez",""
"比较","bǐ jiào","comparer","comparer; assez",""
"比赛","bǐ sài","compétition","compétition; match",""
"笔记本","bǐ jì běn","ordinateur portable","ordinateur portable",""
"必须","bì xū","devoir","devoir; obligatoire",""
"变化","biàn huà","changement","changement; variation",""
"别人","bié rén","autres","autres",""
"冰箱","bīng xiāng","réfrigérateur","réfrigérateur; glacière",""
"不但…而且…","bù dàn …ér qiě …","pas seulement… mais aussi…","pas seulement… mais aussi…",""
"菜单","cài dān","menu","menu",""
"参加","cān jiā","participer","participer; joindre",""
"草","cǎo","herbe","herbe; paille",""
"层","céng","couche","couche; strate",""
"差","chà","différer","différer; manquer",""
"超市","chāo shì","supermarché","supermarché",""
"衬衫","chèn shān","chemise","chemise; blouse",""
"城市","chéng shì","ville","ville; cite",""
"成绩","chéng jì","réalisation","réalisation; record",""
"迟到","chí dào","arriver en retard","arriver en retard",""
"除了","chú le","en plus","en plus; sauf",""
"船","chuán","bateau","bateau; navire",""
"词典","cí diǎn","dictionnaire","dictionnaire",""
"聪明","cōng ming","intelligent","intelligent; lumineux",""
"打扫","dǎ sǎo","nettoyer","nettoyer; balayer",""
"打算","dǎ suàn","planifier","planifier; intention",""
"带","dài","porter","porter; apporter",""
