"hanzi","pinyin","translation","alt_translations","tags"
"吧","ba","particule modale indiquant une suggestion polie","particule modale indiquant une suggestion polie; n'est-ce pas ?",""
"白","bái","blanc","blanc; pur; lumineux; gratuit",""
"百","bǎi","cent","cent; nombreux; toutes sortes de",""
"帮助","bāng zhù","aide","aide; assister",""
"报纸","bào zhǐ","journal","journal; papier journal; quotidien",""
"比","bǐ","comparer","comparer; par rapport à",""
"别","bié","ne pas","ne pas; autre; différent",""
"宾馆","bīn guǎn","hôtel","hôtel; maison d'hôtes; etablissement hotelier",""
"长","cháng","long","long; longueur",""
"唱歌","chàng gē","chanter","chanter",""
"出","chū","sortir","sortir; produire; dépasser",""
"穿","chuān","porter","porter; enfiler",""
"次","cì","fois","fois; ordre; séquence",""
"从","cóng","de","de; à partir de; suivre",""
"错","cuò","faute","faute; erreur; incorrect",""
"打篮球","dǎ lán qiú","jouer au basket-ball","jouer au basket-ball",""
"大家","dà jiā","tout le monde","tout le monde",""
"到","dào","arriver","arriver; jusqu'à; parvenir",""
"得","de","particule exprimant le degré","particule exprimant le degré",""
"等","děng","attendre","attendre; et ainsi de suite",""
"弟弟","dì di","frère cadet","frère cadet",""
"第一","dì yī","premier","premier; numéro un",""
"懂","dǒng","comprendre","comprendre; saisir; cerner",""
"对","duì","vers","vers; à; pour",""
"对","duì","correct","correct; exact",""
"房间","fáng jiān","chambre","chambre",""
"非常","fēi cháng","extrêmement","extrêmement; très",""
"服务员","fú wù yuán","serveur","serveur; serveuse; personnel de service",""
"高","gāo","haut","haut; grand; élevé",""
"告诉","gào su","informer","informer; dire",""
"哥哥","gē ge","frère aîné","frère aîné",""
"给","gěi","donner","donner; pour; à",""
"公共汽车","gōng gòng qì chē","bus","bus",""
"公司","gōng sī","entreprise","entreprise; société",""
"贵","guì","cher","cher; précieux",""
"过","guo","particule d'expérience","particule d'expérience",""
"孩子","hái zi","enfant","enfant",""
"还","hái","encore","encore; encore plus; aussi",""
"好吃","hǎo chī","délicieux","délicieux; savoureux",""
"黑","hēi","noir","noir; sombre",""
"红","hóng","rouge","rouge; populaire",""
"火车站","huǒ chē zhàn","gare ferroviaire","gare ferroviaire",""
"机场","jī chǎng","aéroport","aéroport",""
"鸡蛋","jī dàn","œuf (de poule)","œuf (de poule); œuf",""
"件","jiàn","classificateur pour vêtements","classificateur pour vêtements; affaire; élément",""
"教室","jiào shì","salle de classe","salle de classe",""
"姐姐","jiě jie","sœur aînée","sœur aînée",""
"介绍","jiè shào","présenter","présenter; recommander; introduire",""
"近","jìn","proche","proche; près de",""
"进","jìn","entrer","entrer; avancer",""
"就","jiù","alors","alors; justement; déjà",""
"觉得","jué de","penser","penser; sentir; trouver",""
"咖啡","kā fēi","café","café",""
"开始","kāi shǐ","commencer","commencer; débuter",""
"考试","kǎo shì","examen","examen; test",""
"可能","kě néng","peut-être","peut-être; possible; envisageable",""
"可以","kě yǐ","pouvoir","pouvoir; avoir la permission",""
"课","kè","cours","cours; leçon",""
"快","kuài","rapide","rapide; vite; presque",""
"快乐","kuài lè","heureux","heureux; joyeux; content",""
"累","lèi","fatigué","fatigué",""
"离","lí","quitter","quitter; être loin de",""
"两","liǎng","deux (quantité)","deux (quantité); deux",""
"零","líng","zéro","zéro",""
"路","lù","route","route; chemin",""
"旅游","lǚ yóu","voyager","voyager; tourisme",""
"卖","mài","vendre","vendre",""
"慢","màn","lent","lent",""
"忙","máng","occupé","occupé; pressé",""
"每","měi","chaque","chaque; chacun",""
"妹妹","mèi mei","sœur cadette","sœur cadette",""
"门","mén","porte","porte; entrée; discipline",""
"面条","miàn tiáo","nouilles","nouilles",""
"男","nán","mâle","mâle; masculin",""
"您","nín","vous (politesse)","vous (politesse); vous",""
"牛奶","niú nǎi","lait (de vache)","lait (de vache); lait",""
"女","nǚ","femelle","femelle; femme",""
"旁边","páng biān","à côté","à côté; voisinage",""
"跑步","pǎo bù","courir","courir",""
"便宜","pián yi","pas cher","pas cher; bon marché",""
"票","piào","billet","billet; ticket",""
"妻子","qī zi","épouse","épouse",""
"起床","qǐ chuáng","se lever (du lit)","se lever (du lit); se lever",""
"千","qiān","mille","mille",""
"铅笔","qiān bǐ","crayon","crayon",""
"晴","qíng","temps clair","temps clair; ensoleillé",""
"去年","qù nián","l'année dernière","l'année dernière",""
"让","ràng","laisser","laisser; permettre; demander de",""
"日","rì","jour","jour; soleil",""
"上班","shàng bān","aller au travail","aller au travail",""
"身体","shēn tǐ","corps","corps; santé",""
"生病","shēng bìng","tomber malade","tomber malade",""
"生日","shēng rì","anniversaire","anniversaire",""
"时间","shí jiān","temps","temps; durée",""
"事情","shì qing","affaire","affaire; chose; événement",""
"手表","shǒu biǎo","montre-bracelet","montre-bracelet",""
"手机","shǒu jī","téléphone portable","téléphone portable",""
"说话","shuō huà","parler","parler; discuter",""
"送","sòng","offrir","offrir; envoyer; accompagner",""
"虽然…但是…","suī rán … dàn shì …","bien que ... néanmoins ...","bien que ... néanmoins ...",""
"它","tā","cela","cela; ça",""
"踢足球","tī zú qiú","jouer au football","jouer au football",""
"题","tí","question","question; sujet; titre; interrogation; probleme",""
"跳舞","tiào wǔ","danser","danser",""
"外","wài","extérieur","extérieur; dehors; étranger",""
"完","wán","finir","finir; terminer; achever",""
"玩","wán","jouer","jouer; s'amuser",""
"晚上","wǎn shang","soir","soir; soirée",""
"往","wǎng","aller vers","aller vers; en direction de",""
"为什么","wèi shén me","pourquoi","pourquoi",""
"问","wèn","demander","demander; interroger; solliciter; requerir",""
"问题","wèn tí","problème","problème; question; interrogation",""
"希望","xī wàng","espérer","espérer; souhait",""
"西瓜","xī guā","pastèque","pastèque",""
"洗","xǐ","laver","laver",""
"小时","xiǎo shí","heure","heure",""
"笑","xiào","rire","rire; sourire",""
"新","xīn","nouveau","nouveau; récent; dernier",""
"姓","xìng","nom de famille","nom de famille",""
"休息","xiū xi","se reposer","se reposer",""
"雪","xuě","neige","neige",""
"颜色","yán sè","couleur","couleur",""
"眼睛","yǎn jing","œil","œil",""
"羊肉","yáng ròu","mouton","mouton; viande de mouton",""
"药","yào","médicament","médicament; remède",""
"要","yào","vouloir","vouloir; devoir; falloir",""
"也","yě","aussi","aussi",""
"一下","yī xià","un instant","un instant; un peu",""
"已经","yǐ jīng","déjà","déjà",""
"一起","yī qǐ","ensemble","ensemble",""
"意思","yì si","idée","idée; sens; opinion",""
"因为…所以…","yīn wèi … suǒ yǐ …","parce que ... donc ...","parce que ... donc ...",""
"阴","yīn","nuageux","nuageux; ombragé",""
"游泳","yóu yǒng","nager","nager",""
"右边","yòu bian","à droite","à droite",""
"鱼","yú","poisson","poisson",""
"远","yuǎn","loin","loin; éloigné",""
"运动","yùn dòng","sport","sport; exercice; activite physique",""
"再","zài","encore","encore; à nouveau",""
"早上","zǎo shang","tôt le matin","tôt le matin",""
"丈夫","zhàng fu","mari","mari",""
"找","zhǎo","chercher","chercher; rendre la monnaie; rechercher",""
"着","zhe","particule aspectuelle (action en cours)","particule aspectuelle (action en cours); particule aspectuelle",""
"真","zhēn","vraiment","vraiment; véritable",""
"正在","zhèng zài","en train de","en train de",""
"知道","zhī dao","savoir","savoir; connaître",""
"准备","zhǔn bèi","préparer","préparer; préparation",""
"走","zǒu","marcher","marcher; partir; quitter",""
"最","zuì","le plus","le plus",""
"左边","zuǒ bian","à gauche","à gauche",""
